Date;Type;Valeur;Note;ISIN;Parts;Frais;Impôts / Taxes;ISIN2;Parts2
2023-11-02T16:02:33;Achat;-20.0;Tractor Supply;US8923561067;0.108695;;;;
2023-11-16T11:59:13;Dividendes;0.18;Apple;US0378331005;0.991306;;-0.04;;
2023-11-16T15:19:53;Achat;-25.0;Tesla;US88160R1014;0.11481;;;;
2023-11-16T15:33:34;Achat;-20.0;Apple;US0378331005;0.114534;;;;
2023-12-01T18:55:34;Intérêts;1.22;Zinsen;;;;;;
2023-12-04T14:50:23;Achat;-10.0;Alphabet (A);US02079K3059;0.084146;;;;
2023-12-04T15:24:14;Achat;-10.0;Meta Platforms (A);US30303M1027;0.034211;;;;
2023-12-04T16:02:37;Achat;-20.0;Tractor Supply;US8923561067;0.101677;;;;
2023-12-12T00:43:44;Dividendes;0.46;Tractor Supply;US8923561067;0.562015;;-0.09;;
2023-12-14T17:54:38;Dividendes;0.16;Microsoft;US5949181045;0.27361;;-0.03;;
2023-12-18T15:41:09;Achat;-20.0;Apple;US0378331005;0.111869;;;;
2023-12-29T15:04:44;Intérêts;1.04;Zinsen;;;;;;
2024-01-02T14:50:33;Achat;-10.0;Alphabet (A);US02079K3059;0.079732;;;;
2024-01-02T15:16:43;Achat;-10.0;Meta Platforms (A);US30303M1027;0.031852;;;;
2024-01-02T16:02:46;Achat;-20.0;Tractor Supply;US8923561067;0.0998;;;;
2024-01-09T23:37:23;Dividendes;0.04;Walt Disney;US2546871060;0.1977;;-0.01;;
2024-01-16T15:33:58;Achat;-20.0;Apple;US0378331005;0.119104;;;;
2024-02-01T12:21:47;Intérêts;1.14;Zinsen;;;;;;
2024-02-02T14:51:51;Achat;-10.0;Alphabet (A);US02079K3059;0.078641;;;;
2024-02-02T16:02:38;Achat;-20.0;Tractor Supply;US8923561067;0.094073;;;;
2024-02-15T01:11:07;Dividendes;0.25;Apple;US0378331005;1.336813;;-0.05;;
2024-02-16T15:33:33;Achat;-20.0;Apple;US0378331005;0.11791;;;;
2024-03-01T12:43:10;Intérêts;0.89;Zinsen;;;;;;
2024-03-04T14:52:10;Achat;-10.0;Alphabet (A);US02079K3059;0.081579;;;;
2024-03-12T01:14:30;Dividendes;0.73;Tractor Supply;US8923561067;0.857565;;-0.13;;
2024-03-15T01:39:20;Dividendes;0.16;Microsoft;US5949181045;0.27361;;-0.03;;
2024-03-18T15:33:36;Achat;-20.0;Apple;US0378331005;0.123183;;;;
2024-03-26T02:08:47;Dividendes;0.18;Meta Platforms (A);US30303M1027;0.470248;;-0.04;;
2024-04-01T14:09:24;Intérêts;0.9;Zinsen;;;;;;
2024-04-02T14:09:17;Achat;-20.0;BlackRock;US09247X1019;0.026315;;;;
2024-04-02T14:34:02;Achat;-20.0;Broadcom;US11135F1012;0.016496;;;;
2024-04-02T14:45:47;Achat;-30.0;Tesla;US88160R1014;0.195771;;;;
2024-04-02T15:09:13;Achat;-20.0;NVIDIA;US67066G1040;0.024369;;;;
2024-04-02T15:20:33;Achat;-20.0;Visa;US92826C8394;0.077429;;;;
2024-04-16T13:58:45;Achat;-20.0;Broadcom;US11135F1012;0.016118;;;;
2024-04-16T13:59:23;Achat;-20.0;BlackRock;US09247X1019;0.027874;;;;
2024-04-16T14:37:27;Achat;-20.0;Apple;US0378331005;0.124177;;;;
2024-04-16T14:45:28;Achat;-20.0;NVIDIA;US67066G1040;0.0245;;;;
2024-04-16T15:10:38;Achat;-20.0;Visa;US92826C8394;0.078262;;;;
2024-05-01T08:59:49;Intérêts;0.6;Zinsen;;;;;;
2024-05-02T14:05:56;Achat;-20.0;Broadcom;US11135F1012;0.017205;;;;
2024-05-02T14:18:09;Achat;-20.0;BlackRock;US09247X1019;0.028304;;;;
2024-05-02T15:10:55;Achat;-30.0;Tesla;US88160R1014;0.17904;;;;
2024-05-02T15:13:40;Achat;-20.0;NVIDIA;US67066G1040;0.025135;;;;
2024-05-02T15:34:55;Achat;-20.0;Visa;US92826C8394;0.079824;;;;
2024-05-06T23:55:11;Dividendes;1.57;Danone;FR0000120644;1.0;;-0.53;;
2024-05-16T00:54:23;Dividendes;0.34;Apple;US0378331005;1.702083;;-0.06;;
2024-05-16T14:06:15;Achat;-20.0;Broadcom;US11135F1012;0.015119;;;;
2024-05-16T15:01:14;Achat;-20.0;Apple;US0378331005;0.114194;;;;
2024-05-16T15:15:43;Achat;-20.0;NVIDIA;US67066G1040;0.022755;;;;
2024-05-16T15:22:07;Achat;-20.0;Visa;US92826C8394;0.077399;;;;
2024-05-16T17:24:07;Achat;-20.0;BlackRock;US09247X1019;0.026741;;;;
2024-05-31T23:43:02;Dividendes;0.09;Visa;US92826C8394;0.235515;;-0.02;;
2024-06-01T16:13:03;Intérêts;0.27;Zinsen;;;;;;
2024-06-03T14:11:23;Achat;-20.0;Broadcom;US11135F1012;0.016331;;;;
2024-06-03T14:13:17;Achat;-20.0;BlackRock;US09247X1019;0.028105;;;;
2024-06-03T15:54:28;Achat;-20.0;Visa;US92826C8394;0.08045;;;;
2024-06-13T10:14:45;Dividendes;0.73;Tractor Supply;US8923561067;0.857565;;0.13;;
2024-06-13T11:17:12;Dividendes;0.16;Microsoft;US5949181045;0.27361;;0.03;;
2024-06-17T13:58:12;Achat;-20.0;BlackRock;US09247X1019;0.027808;;;;
2024-06-17T22:27:10;Dividendes;0.35;;US02079K3059;2.185643;;0.06;;
2024-06-21T22:46:41;Dividendes;0.55;BlackRock;US09247X1019;0.137339;;0.1;;
2024-06-27T10:37:22;Dividendes;0.18;Meta Platforms (A);US30303M1027;0.470248;;0.04;;
2024-06-28T12:15:45;Dividendes;0.34;Broadcom;US11135F1012;0.081269;;0.06;;
2024-06-28T13:54:48;Dividendes;0.01;NVIDIA;US67066G1040;0.96759;;;;
2024-07-01T05:37:51;Intérêts;0.05;Zinsen;;;;;;
2024-07-15T05:46:58;SPLIT;0;Broadcom;US11135F1012;0.731421;;;;
2024-07-25T15:42:32;Dividendes;0.07;Walt Disney;US2546871060;0.1977;;0.01;;
2024-08-01T07:40:20;Intérêts;0.03;Zinsen;;;;;;
2024-08-15T18:00:49;Dividendes;0.35;Apple;US0378331005;1.816277;;0.06;;
2024-09-01T19:54:35;Intérêts;0.03;Zinsen;;;;;;
2024-09-03T15:49:40;Dividendes;0.15;Visa;US92826C8394;0.393364;;0.03;;
2024-09-10T12:34:38;Dividendes;0.72;Tractor Supply;US8923561067;0.857565;;0.13;;
